Occupation,Skill,Category,Skill Subcategory,Definition,How Skill is Utilized,Proficiency Level,Level 1 Example,Level 2 Example,Level 3 Example,Label,Frequency in Role,Skill Specificity,5-Year Demand Growth,Wage Premium
Customer Service Managers,Invoicing,Baseline Applied Skills,Billing and Invoicing,Invoicing involves the process of creating and sending invoices to customers for the products or services provided by a business.,"In the role of a Customer Service Manager, the skill of invoicing is utilized when managing customer accounts, resolving billing inquiries, ensuring accurate billing, and coordinating with the finance department regarding invoicing matters.",Level 2,"At Level 1 proficiency, the individual can generate basic invoices using templates or software, understand the invoice components, and input customer billing details accurately.","At Level 2 proficiency, the individual can handle more complex invoicing scenarios, such as partial payments, adjustments, and discounts, while ensuring proper documentation and compliance with billing regulations.","At Level 3 proficiency, the individual can strategize and optimize the invoicing process for efficiency, accuracy, and enhancing customer satisfaction. They can also analyze invoicing data to identify trends and make informed decisions.",Durable Skill,13.0%,16.1%, 2.7%,#N/A
Customer Service Managers,Leadership,Foundational & Leadership Skills,Initiative and Leadership,"Leadership is the ability to inspire, influence, and guide a team or group of individuals towards a common goal or vision. It involves setting a clear direction, making decisions, motivating others, and creating a positive work environment.","As a Customer Service Manager, leadership is essential for overseeing a team of customer service representatives, setting performance targets, resolving escalated customer issues, providing guidance and training to team members, and ensuring a high level of customer satisfaction.",Level 2,"At Level 1 proficiency, an individual demonstrates basic leadership skills by taking on small leadership responsibilities, such as leading brief team meetings or providing feedback to team members.","At Level 2 proficiency, an individual shows intermediate leadership skills by effectively managing a team, delegating tasks, handling conflicts within the team, and actively working towards team goals.","At Level 3 proficiency, an individual exhibits expert leadership skills by inspiring and motivating a team to achieve outstanding results, implementing strategic initiatives to improve customer service operations, and serving as a role model for other team members.",High Value Skill,76.3%,4.3%, 18.3%,19.6%
Customer Service Managers,Management,Foundational & Leadership Skills,Business Management,"Management is the ability to organize, direct, and control resources (including personnel) to achieve specific goals efficiently and effectively.","In the role of a Customer Service Manager, management skills are utilized to oversee and lead the customer service team, set performance goals, develop strategies for improving customer satisfaction, handle customer escalations, allocate resources effectively, and ensure smooth operations in the customer service department.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of management principles and can assist in implementing basic processes within a team or department.","At Level 2 proficiency, an individual displays a deeper understanding of management strategies, can effectively lead a team or department, make data-driven decisions, and implement performance improvement initiatives.","At Level 3 proficiency, an individual is a seasoned leader with advanced management skills, excelling in strategic planning, change management, conflict resolution, and inspiring high performance in a team while achieving organizational goals.",Declining Skill,81.7%,0.0%,- 1.3%,14.5%
Customer Service Managers,Operations,Baseline Applied Skills,Business Operations,"Operations involves overseeing and managing the processes and procedures within an organization to ensure efficiency, productivity, and quality in delivering products or services.","Operations skills are crucial for a Customer Service Manager as they involve managing the daily operations of the customer service department, optimizing processes, and ensuring smooth and timely resolution of customer issues.",Level 1,"At Level 1 proficiency, the individual demonstrates basic understanding of operational processes, follows established procedures, and can execute routine tasks under supervision.","At Level 2 proficiency, the individual has a deeper understanding of operational strategies, can analyze processes for potential improvements, and is able to make proactive decisions to enhance efficiency within the customer service department.","At Level 3 proficiency, the individual possesses advanced operational skills, can design and implement strategic initiatives to streamline operations, and has a track record of consistently improving departmental performance and customer satisfaction.",High Value Skill,67.9%,3.8%, 23.9%,15.0%
Customer Service Managers,Performance Management,Foundational & Leadership Skills,Performance Management,"Performance Management involves setting goals, continuously monitoring progress, providing feedback, and assessing outcomes to improve individual and team performance.","In the role of a Customer Service Manager, performance management is crucial for setting clear performance expectations for customer service representatives, tracking key performance indicators, conducting performance reviews, and implementing strategies to improve customer service quality.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of performance management concepts such as goal setting and feedback provision.","At Level 2 proficiency, an individual shows a deeper understanding of performance management principles, is capable of analyzing performance data, and can develop improvement plans based on performance reviews.","At Level 3 proficiency, an individual is able to create comprehensive performance management systems, coach team members to enhance performance, and align performance goals with the overall strategic objectives of the organization.",High Growth Skill,8.9%,18.1%, 60.2%,12.6%
Customer Service Managers,Product Knowledge,Specialization,"Company, Product, and Service Knowledge","Product Knowledge refers to having a deep understanding of the products or services offered by a company, including features, benefits, functionalities, and potential use cases. It involves knowing the ins and outs of the products to effectively communicate with customers.","As a Customer Service Manager, Product Knowledge is vital for providing excellent customer service. Customer Service Managers rely on their product knowledge to answer customer inquiries, provide accurate information, offer product recommendations, and resolve customer issues effectively.",Level 2,"At Level 1 proficiency, the individual possesses basic knowledge of the products or services offered by the company. They can provide general information but may need to consult with more experienced colleagues for in-depth queries.","At Level 2 proficiency, the individual has a solid understanding of the products or services. They can confidently address most customer inquiries, offer detailed explanations, and handle a wide range of customer needs without constant supervision.","At Level 3 proficiency, the individual is considered an expert in product knowledge. They have an in-depth understanding of the products, including technical details and nuances. They can train and mentor others, provide strategic insights, and contribute to product development based on customer feedback.",Declining Skill,11.9%,21.1%,- 13.8%,#N/A
Customer Service Managers,Project Management,Baseline Applied Skills,Project Management,"Project Management involves planning, executing, and overseeing specific tasks and goals within a specified timeframe and budget to achieve successful project outcomes.","As a Customer Service Manager, Project Management skills are utilized to plan and implement new customer service initiatives, improve existing processes, and lead cross-functional teams to deliver high-quality service to customers efficiently.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of project management principles such as task scheduling and basic project planning.","At Level 2 proficiency, an individual can develop comprehensive project plans, manage project timelines and resources effectively, and coordinate project activities across multiple departments or teams.","At Level 3 proficiency, an individual is a seasoned project manager who can handle complex projects, mitigate risks effectively, adapt to changing circumstances, and lead large-scale projects to successful completion.",High Value Skill,21.1%,11.8%,- 12.4%,30.9%
Customer Service Managers,Sales,Baseline Applied Skills,General Sales Practices,"Sales involves the ability to identify potential customers, understand their needs, and persuasively communicate how a product or service can fulfill those needs in order to generate revenue.","In the role of a Customer Service Manager, sales skills are utilized to upsell or cross-sell products or services to existing customers, resolve customer complaints or issues in a way that also builds goodwill and potentially generates additional sales, and identify opportunities for revenue growth through improved customer service processes.",Level 1,"At Level 1 proficiency, an individual with sales skills can understand basic sales techniques and concepts, such as identifying customer needs and presenting product benefits, but may struggle with closing deals effectively.","At Level 2 proficiency, an individual has a solid grasp of sales strategies, can effectively handle objections, negotiate terms, and close sales transactions. They can also build and maintain customer relationships.","At Level 3 proficiency, an individual is an expert in sales, possessing advanced skills in strategic account management, complex sales negotiations, sales forecasting, and developing long-term customer loyalty through exceptional sales techniques.",Durable Skill,95.2%,34.4%, 3.4%,#N/A
Customer Service Managers,Selling Techniques,Specialization,General Sales Practices,"Selling techniques refer to the methods and strategies used to effectively persuade and influence potential customers to make a purchase. These techniques include understanding customer needs, building rapport, handling objections, and utilizing closing strategies to seal the deal. ","In the role of a Customer Service Manager, selling techniques are utilized to enhance customer interactions, upsell products or services, resolve customer concerns, and ultimately drive sales revenue.",Level 1,"At Level 1 proficiency, an individual demonstrates basic knowledge of selling techniques such as active listening, objection handling, and product knowledge.","At Level 2 proficiency, an individual can apply more advanced selling techniques, such as relationship-building, consultative selling, and understanding customer buying behavior.","At Level 3 proficiency, an individual excels in selling techniques by customizing sales approaches, implementing strategic sales plans, and consistently exceeding sales targets.",Durable Skill,23.3%,34.6%, 21.2%,#N/A
Customer Service Representatives,Billing,Baseline Applied Skills,Billing and Invoicing,"Billing involves the process of generating invoices, quires, and maintaining records of financial transactions between a business and its customers.","Customer Service Representatives use billing skills to assist customers with billing inquiries, explain charges on invoices, process payments, set up payment arrangements, and resolve any billing issues or discrepancies.",Level 2,"At Level 1 proficiency, a worker can accurately read and explain basic billing information to customers, such as invoice due dates and total amounts owed.","At Level 2 proficiency, a worker can effectively handle more complex billing situations, such as processing refunds, adjusting charges, and providing detailed explanations for various billing components.","At Level 3 proficiency, a worker can analyze billing data to identify patterns or trends, recommend process improvements for billing operations, develop strategies for reducing late payments, and lead training sessions for other staff members on billing best practices.",High Growth Skill,17.2%,26.2%, 8.8%,7.1%
Customer Service Representatives,Call Center Experience,Core Role-Specific Skills,Customer Service,"Call center experience involves handling high volumes of incoming and outgoing phone calls, providing customer support, resolving issues, and maintaining a professional and courteous demeanor throughout interactions.","Customer Service Representatives heavily rely on call center experience to effectively communicate with customers, address their inquiries, resolve complaints, provide product or service information, and ensure customer satisfaction over the phone.",Level 2,"At Level 1 proficiency, an individual with call center experience can effectively handle basic customer inquiries, follow scripted responses, and demonstrate a foundational understanding of customer service principles.","A Level 2 proficiency reflects an individual who can handle a variety of customer issues with more complexity, adapt responses based on customer needs, demonstrate active listening skills, and effectively de-escalate challenging situations.","At Level 3 proficiency, a highly skilled individual can handle all types of customer interactions with confidence and empathy, quickly identify customer needs, provide personalized solutions, and efficiently navigate through various customer service scenarios.",Declining Skill,33.0%,100.0%,- 10.8%,2.4%
Customer Service Representatives,Cash Handling,Baseline Applied Skills,Cash Management,"Cash handling involves the process of receiving, counting, and disbursing money in various forms such as cash, electronic payments, and checks. It requires accuracy, attention to detail, and adherence to established policies and procedures.","Customer Service Representatives often handle cash transactions when processing payments from customers either in person or over the phone. They may also be responsible for providing change, processing refunds, and reconciling cash drawers at the end of their shift.",Level 2,"At Level 1 proficiency, a worker demonstrates basic understanding of cash handling principles, such as counting money accurately, verifying currency authenticity, and following basic cash handling procedures under supervision.","At Level 2 proficiency, a worker shows intermediate skills in cash handling, including handling larger amounts of cash, identifying and resolving discrepancies in cash transactions, and maintaining accurate transaction records.","At Level 3 proficiency, a worker has expert-level skills in cash handling. This includes efficiently managing high-volume cash transactions, identifying counterfeit currency, training others on cash handling best practices, and implementing strategies to minimize cash handling errors and risks.",Durable Skill,11.2%,37.0%,- 6.1%,#N/A
Customer Service Representatives,Cash Register,Specialization,Cash Register Operation,"The Cash Register skill involves the ability to operate a cash register system accurately and efficiently to process transactions, handle payments, provide change, and generate receipts.","Customer Service Representatives use the Cash Register skill to assist customers in making purchases, handling returns or exchanges, processing payments, managing cash transactions, and providing excellent customer service at the point of sale.",Level 1,"At Level 1 proficiency, an individual can accurately process basic transactions using a cash register, handle cash, and provide basic customer service at the checkout counter.","At Level 2 proficiency, the individual can efficiently handle a variety of transactions, process multiple payment methods, handle customer inquiries or issues related to transactions, and maintain accuracy in cash handling.","At Level 3 proficiency, the individual can expertly operate advanced cash register functions, troubleshoot technical issues with the system, handle complex transactions, manage cash procedures securely, and provide exceptional customer service even during high-stress situations.",High Growth Skill,23.8%,83.4%, 52.9%,#N/A
Customer Service Representatives,Clerical Works,Baseline Applied Skills,Administrative Support and Clerical Tasks,"Clerical Works involve various administrative tasks such as filing, data entry, organizing paperwork, answering phones, and maintaining records.","Customer Service Representatives utilize clerical works to assist in managing customer inquiries, documenting customer interactions, scheduling appointments, updating customer information, and handling administrative tasks efficiently.",Level 2,"At Level 1 proficiency, individuals demonstrate basic skills in clerical works including basic data entry, filing, and answering routine phone calls.","At Level 2 proficiency, individuals display intermediate skills in clerical works such as organizing complex paperwork, managing multiple tasks simultaneously, and efficiently documenting customer interactions.","At Level 3 proficiency, individuals exhibit expert-level skills in clerical works, showcasing advanced abilities in handling complex administrative tasks, resolving intricate customer issues, and effectively managing administrative processes to streamline customer service operations.",Declining Skill,13.3%,16.7%, 26.9%,4.6%
Customer Service Representatives,Communication,Foundational & Leadership Skills,Communication,"Communication is the ability to convey information clearly and effectively through verbal, written, and non-verbal means.","Customer Service Representatives need strong communication skills to interact with customers, understand their needs, address inquiries or issues, and provide assistance or solutions in a professional and empathetic manner.",Level 2,"At Level 1 proficiency, an individual demonstrates basic communication skills such as greeting customers courteously, listening attentively to their concerns, and providing simple and clear responses.","At Level 2 proficiency, an individual can communicate more complex information, actively engage with customers to resolve issues, adapt communication style to different customer personalities, and demonstrate empathy and patience in challenging situations.","At Level 3 proficiency, an individual excels in communication by effectively diffusing conflicts, negotiating solutions, going above and beyond to ensure customer satisfaction, and serving as a role model for others in communication excellence.",Durable Skill,100.0%,0.1%, 7.8%,4.7%
Customer Service Representatives,Customer Inquiries,Core Role-Specific Skills,Customer Service,"Customer inquiries refer to questions, requests, or concerns raised by customers regarding a product or service.","Customer service representatives interact with customers to address their inquiries promptly and effectively, providing accurate information, solutions, and assistance to ensure customer satisfaction.",Level 2,"At Level 1 proficiency, a worker can handle basic customer inquiries, such as providing general information about products or services and directing customers to the appropriate resources for further assistance.","At Level 2 proficiency, a worker can manage more complex inquiries, including resolving customer complaints, handling escalated issues, and demonstrating empathy and active listening skills during interactions.","At Level 3 proficiency, a worker excels in handling diverse and challenging customer inquiries with ease, demonstrating advanced problem-solving abilities, negotiation skills, and the ability to de-escalate difficult situations effectively.",Declining Skill,18.8%,52.6%,- 33.8%,3.8%
Customer Service Representatives,Customer Relationship Management,Specialization,Customer Relationship Management (CRM),"Customer Relationship Management (CRM) involves practices, strategies, and technologies that companies use to manage and analyze customer interactions throughout the customer lifecycle, with the goal of improving business relationships with customers, assisting in customer retention, and driving sales growth.","Customer Service Representatives utilize CRM skills to track customer interactions, resolve issues efficiently, personalize customer experiences, and build long-term relationships with clients. They use CRM systems to access customer data, history, preferences, and feedback to provide better services.",Level 2,"At Level 1 proficiency, a worker demonstrates basic understanding of CRM concepts, understands the importance of maintaining customer relationships, and can navigate basic functions of CRM systems to access customer information.","At Level 2 proficiency, a worker shows advanced knowledge of CRM principles, can effectively use CRM tools to segment customers, analyze data to anticipate needs, personalize interactions, and is able to input and update customer information accurately.","At Level 3 proficiency, a worker is considered an expert in CRM, can develop and implement CRM strategies, interpret complex customer data to make strategic business decisions, lead CRM initiatives, train others on CRM best practices, and continuously optimize customer experiences.",Declining Skill,17.5%,32.6%, 6.2%,9.6%
Customer Service Representatives,Customer Success Management,Core Role-Specific Skills,Client Support,Customer Success Management involves understanding customers' needs and ensuring that they achieve success with the products or services they have purchased.,"Customer Service Representatives utilize Customer Success Management by proactively engaging with customers, addressing their concerns, providing solutions to problems, and ensuring customer satisfaction and retention.",Level 2,"At Level 1 proficiency, a worker demonstrates basic understanding of the importance of customer success and shows willingness to assist customers with their needs.","At Level 2 proficiency, a worker can effectively identify customer challenges, tailor solutions to meet individual customer needs, and implement strategies to enhance customer success.","At Level 3 proficiency, a worker excels in fostering long-term customer relationships, anticipating customer needs, and driving customer success at a strategic level within the organization.",Declining Skill,9.8%,46.9%, 46.6%,21.3%
Customer Service Representatives,Customer Support,Core Role-Specific Skills,Customer Service,"Customer Support involves providing assistance and guidance to customers before, during, and after their purchase of a product or service. It requires effective communication, problem-solving skills, empathy, and patience to address customer inquiries and concerns.","Customer Service Representatives rely heavily on their customer support skills to interact with customers, address their questions, resolve complaints, and ensure a positive customer experience. They serve as the frontline representatives of a company in handling customer interactions.",Level 2,"At Level 1 proficiency, an individual is able to engage with customers in a polite and professional manner, follow basic scripts or guidelines provided, and escalate more complex issues to a supervisor when necessary.","At Level 2 proficiency, a person can handle a wider range of customer inquiries independently, adapt responses to different customer personalities, demonstrate a deeper understanding of products or services offered, and efficiently resolve common issues.","At Level 3 proficiency, a professional excels in customer support by anticipating customer needs, offering proactive solutions, handling difficult situations with ease, providing personalized service, and effectively managing customer relationships for long-term satisfaction.",Durable Skill,14.0%,40.1%, 37.2%,5.2%
Customer Service Representatives,Data Entry,Baseline Applied Skills,Administrative Support and Clerical Tasks,"Data Entry involves accurately and efficiently inputting, updating, and maintaining data in a computer system or database.","Customer Service Representatives utilize data entry skills when recording customer information, updating account details, logging customer interactions, and entering orders or service requests into the system.",Level 2,"At Level 1 proficiency, a worker can perform basic data entry tasks such as entering customer names and contact details with minimal errors under supervision.","At Level 2 proficiency, a worker can handle more complex data entry tasks such as updating multiple records simultaneously, sorting and organizing data effectively, and demonstrating improved speed and accuracy.","At Level 3 proficiency, a worker is an expert in data entry, able to handle large volumes of information swiftly and accurately, troubleshoot data inconsistencies, and maintain a high level of accuracy even with time-sensitive tasks.",Declining Skill,16.8%,19.1%,- 14.3%,2.0%
Customer Service Representatives,Inbound Calls,Core Role-Specific Skills,Customer Service,The skill of handling inbound calls involves answering and managing incoming phone calls from customers or clients in a professional and efficient manner.,"In the role of Customer Service Representatives, inbound call skills are used to address customer queries, provide assistance with products or services, resolve complaints, and ensure customer satisfaction.",Level 2,"At Level 1 proficiency, an individual can effectively answer inbound calls, follow scripted responses, and transfer calls to appropriate departments when necessary.","At Level 2 proficiency, a person can handle a higher volume of inbound calls, demonstrate active listening skills, empathize with customers, and resolve basic issues independently.","At Level 3 proficiency, the individual can handle complex customer inquiries, de-escalate tense situations, offer creative solutions, and multitask effectively while on calls to provide exceptional service.",Durable Skill,12.2%,58.2%, 11.2%,1.5%
Customer Service Representatives,Invoicing,Baseline Applied Skills,Billing and Invoicing,Invoicing involves creating and sending out detailed bills to customers for products or services provided by a company. It includes documenting the transaction details and ensuring accuracy in the billing process.,"Customer Service Representatives utilize the skill of Invoicing when assisting customers with billing inquiries, processing payments, resolving billing discrepancies, and providing customers with billing-related information or documentation.",Level 2,"At Level 1 proficiency, an individual is able to understand basic invoicing concepts, input customer data into billing systems, and generate standard invoices under supervision.","At Level 2 proficiency, the individual can independently handle more complex invoicing tasks, such as handling multiple billing systems, resolving billing errors, and communicating effectively with customers regarding their invoices.","At Level 3 proficiency, the individual is an expert in invoicing, capable of analyzing billing processes for efficiency improvements, training others on invoicing best practices, and effectively managing large volumes of invoices with high accuracy.",Declining Skill,13.5%,23.9%, 12.1%,8.1%
Customer Service Representatives,Issuing Refunds,Specialization,Cash Register Operation,"Issuing refunds involves the process of reimbursing customers for purchases they have made and are dissatisfied with, either due to product defects or other reasons.","Customer Service Representatives utilize the skill of issuing refunds to address customer complaints, resolve disputes, and maintain positive customer relationships. They handle refund requests, process transactions, and ensure customers are satisfied with the resolution.",Level 2,"At Level 1 proficiency, an individual can follow established guidelines and procedures to issue refunds under supervision. They may need assistance with complex cases or situations.","At Level 2 proficiency, a person can independently handle most refund requests, assess situations to determine eligibility for refunds, and resolve issues effectively. They may provide guidance to Level 1 colleagues.","At Level 3 proficiency, a professional is an expert in issuing refunds, able to handle complex cases, mitigate escalations, analyze trends to prevent future refund requests, and provide training or mentoring to others in the organization.",High Growth Skill,12.5%,92.1%, 101.0%,#N/A
Customer Service Representatives,Merchandise Exchanges,Specialization,Cash Register Operation,Merchandise Exchanges involve the process of exchanging items purchased by customers for different products of equal value or issuing store credits/refunds.,"Customer Service Representatives utilize the skill of Merchandise Exchanges to assist customers with exchanging products, resolving product-related issues, and ensuring customer satisfaction.",Level 2,"At Level 1 proficiency, a worker demonstrates basic knowledge of the merchandise exchange process, including understanding the exchange policy and basic procedures.","At Level 2 proficiency, a worker is able to handle more complex merchandise exchange scenarios, navigate exceptions to the standard policy, and effectively communicate exchange processes to customers.","At Level 3 proficiency, a worker possesses advanced expertise in handling all types of merchandise exchanges, resolving challenging exchange situations efficiently, and providing exceptional customer service throughout the process.",High Growth Skill,13.0%,92.4%, 86.7%,#N/A
